&	ㅀ
bu	ら
bu8	㡇
bub	䜱
bud	㉄
buk	䉙
bul	㜱
bum	䈦
bun	㘗
bund	䀳
bur	䈀
bus	㐧
but	䜐
buz	䜁
c&	㙈
c&N	䀨
c&S	䍲
c&Sm	ㅤ
c&k	㘵
c&l	㤦
c&m	䁢
c&n	ㆁ
c&nd	㈅
c&p	䊑
c&r	㈘
c&rx	䅀
c&s	䄕
c&sb	䤉
c&sm	䎓
c&sp	䂃
c&st	䄠
c&t	䡸
c&tr	䔩
cE	で
cES	㊉
cESat	䈲
cESm	㔡
cEl	䆀
cEr	㞕
cEra	䐳
cEra8	㘄
cEracE	䥤
cErk	㙥
cEt	䙐
ca	ㅘ
ca8	㘇
caS	䠗
cah	䝰
cai&m	㌄
cal	㝃
cam	䁣
can	䤂
car	㉇
cart	䤥
casb	䤈
ce	䥢
ci	ぉ
ciS	㔨
cid	䄷
cik	㉢
cim	䕥
cin	䉃
cips	㠑
cis	㜰
cit	䡆
ciyE	䔤
ciz	ㅢ
co	㤉
cod	䥇
con	㐀
cort	䒆
crai	䌓
cu	㌉
cub	䍡
cul	䡃
cun	䍂
d	䢒
d&	㄰
d&N	䌅
d&S	㥄
d&St	㖂
d&b	䑤
d&d	㘖
d&f	㤧
d&h	㉈
d&h&ndEyE	䙄
d&hb&rab&rE	䑡
d&k	䄢
d&m	ㅕ
d&mo	䤴
d&n	ぱ
d&nd	䔰
d&r	ㆉ
d&rd	ㄗ
d&rs	䉅
d&s	゗
d&st	㎑
d&stb&nd	䘰
d&t	ゐ
d&x	䡧
d&z	䒖
dE	あ
dES	㈴
dEh	䕶
dEl	㎁
dEm	䅳
dEr	䈔
dErazE	䙆
dEs	倇
dEt	㈃
da	〴
da8	㡡
daS	㈂
daSt	㑑
dad	㙄
dadaSi	䥔
dak	䅙
dal	䀦
dam	㊄
dams	㠕
dan	䚖
dand	䥸
dar	㐑
dard	䉤
daru8E	䝦
das	䄨
dast	䅵
dat	㚃
dax	ㅧ
daxt	㙅
day	㢅
daz	㑠
de	䎉
di	び
diG	䘅
diN	䑆
diS	㦕
did	㌦
didi	䔲
dig	㡤
dik	㜶
dil	䐲
dim	㈖
din	㌒
dir	㡰
dis	䤙
dit	䑘
div	䍵
do	〰
doS	䁇
dobarE	䕗
dof	䙹
dok	㕰
dol	㔒
dom	㤸
don	ㆃ
dor	㘠
dot	㥁
dotaro	䤤
dovr	䅲
dox	ㄑ
doz	㕆
dozd	䌙
dr&	㥉
dri	䕃
du	ㄩ
du8	䌣
duS	䚃
dud	㕳
dul	㢒
dum	㔲
dun	㙣
dur	㘘
dus	㜑
dust	〳
duz	㍄
e	ゑ
eb	㍠
ed	㦃
eh	㕔
el	䥵
f&	ㅂ
f&8	䍐
f&8&t	䌷
f&N	䤰
f&S	䀁
f&h	㔤
f&k	㒃
f&ks	䡲
f&l	䍉
f&m	㙓
f&n	㔀
f&nd	䖃
f&ng	䚓
f&r	㊔
f&r8	㜘
f&rS	㤄
f&s	ゕ
f&sl	䙑
f&t	䂑
f&z	㝤
fE	㈷
fES	㘶
fEk	㌑
fEkr	う
fEl	䁦
fEn	䙱
fEr	䉦
fErfEri	䌈
fEs	䀔
fEt	䀱
fEz	㡅
fa	㕈
fa8	䈡
faS	䉀
fal	䙖
fam	㜷
far	䉠
fars	䐆
fat	䉇
fay	㍰
fe	䝴
feE	䠆
fi	㉥
fi8	䈰
fiN	䤆
fiS	䅣
fid	䁑
fif	䂐
fik	䠑
fil	㐖
fild	㢘
film	㥥
fim	䍥
fin	㔓
fist	䕩
fl&S	䈖
flek	䆆
fleks	䅖
fo	㎆
fo8ES&m	䑂
fon	㤴
for	㝳
form	䈘
fors	㝴
foruSE	䘶
foruSa	䐤
foruSi	䘉
foruSiyE	䐀
fot	㥩
foz	䊅
fu	䀄
fut	㑂
g&	ㄠ
g&S	㙨
g&St	䀂
g&bl	䥲
g&c	㤖
g&h	㒕
g&k	䉴
g&l	䈑
g&lb	䥳
g&m	㍑
g&n	㙡
g&nG	䌴
g&r	㈥
g&rd	䅢
g&rm	㤗
g&st	㜙
gE	ぴ
gES	㐔
gESt	䔈
gEf	䑦
gEl	㝦
gEn	㥐
gEr	㘓
gErd	㉐
gErf	䢗
gErft	䤳
gErl	㠳
gEs	㑇
gEt	䉥
ga	㍡
gaS	㠅
gah	㐗
gal	㚐
gan	䚑
gar	㢗
gas	䈆
gast	䐧
gat	䐁
gav	䄑
gaz	䁲
ge	䜤
gi	ん
giG	䊗
giS	䊀
gid	䜵
gim	ㆆ
gin	㜩
ging	䔃
gir	ㅱ
git	䌃
giz	䑧
gli	䤒
go	い
goS	㍹
goSt	㌴
gof	ㅳ
goft	ㅷ
goft&m	䜈
goft&n	䒇
goftES	䤗
gol	㔱
gom	㕧
gon	㔵
gor	㙱
gorb	䤇
gorbEyE	䔂
gorg	㘱
gozaSti	䈶
gu	〒
guS	㐷
guSt	䔓
gul	㠃
gump	䝘
gun	䝙
gur	䜒
gus	䦄
gust	倆
h&	ㄱ
h&8	䙈
h&N	㑡
h&S	㈑
h&St	㞃
h&b	䎒
h&d	䙨
h&ds	䝒
h&f	㔂
h&ft	㔇
h&l	䑰
h&m	〦
h&ms	䁱
h&mun	䘤
h&n	㐈
h&r	㈄
h&rf	㊅
h&rfayE	䚇
h&s	㍵
h&st	㉙
h&t	㝢
h&ts	䘆
h&zm	䜲
hE	ご
hES	ㆇ
hESt	䘥
hEb	䝂
hEf	䜙
hEl	䘕
hElp	䥖
hEm	㜖
hEn	㞉
hEnd	㙵
hEr	䘱
hEt	㍐
hEv	䁥
hEvs	䉕
hEz	䐦
ha	と
haG	㡔
haS	㉰
had	䑳
hal	㔔
hala	䌠
ham	㜲
han	ㅉ
har	㍃
harf	䤓
has	䄒
hast	㠁
hat	㕂
hay	㘰
haz	䤧
he	㌠
hef	㙤
hi	ょ
hiG	䈳
hiS	㡣
hic	㕑
hid	㡸
hil	䕡
hin	䥩
hit	䕷
hiv	䅶
hm	㒒
ho	㌱
hol	㔠
hom	䒘
hosen	䡓
hu	㌨
huS	䌧
hud	䎂
hum	䥒
hup	䜇
hut	䕐
i	〷
iN	䒉
iS	䆉
ib	䚘
id	䅉
if	䌵
ik	㦅
il	䥶
im	䈇
imun	䍄
in	。
inGa	䞔
inGaha	䝣
inGuri	㥲
intori	䥣
ip	䡀
ir	䎘
is	や
it	㒔
iv	䈁
iz	䢉
ja	㖈
jo	䌄
jun	䖓
k&	ㅖ
k&G	䁈
k&S	䍁
k&Sf	䡰
k&Sk	䎕
k&b	䕒
k&c&l	䀠
k&c&lE	䀡
k&f	㉖
k&fS	㕣
k&l	䠔
k&m	㉘
k&n	㔩
k&nd	㥠
k&ndE	䡩
k&r	㉲
k&rd	㈲
k&rd&m	䥦
k&rd&ni	䙣
k&rd&niyE	䙥
k&rdE	䅈
k&rdi	䤦
k&s	㡈
k&si	㖖
k&st	㜕
k&t	㍢
kE	ㄢ
kES	㌐
kEl	㜆
kEm	䝷
kEn	䊖
kEr	㙘
kErm	㚓
kEs	䊕
kEt	㊑
ka	㐶
kaS	㌘
kaSt	䘒
kaf	䌘
kam	㝹
kan	㜴
kap	㥇
kapr	䥁
kar	㈣
karf	䤣
kari	䜹
kat	䈅
ke	㕖
kef	䕈
kefES	䜑
kek	㑓
ket	㈹
ki	〥
kiN	䀹
kiS	㞓
kif	䖉
kil	䙘
kim	䡙
kit	䡤
klik	䎖
ko	ぇ
koG	䥗
koGa	䌗
koS	㔉
koSt	䌉
kob	䊔
kodum	䀵
kodumi	䡐
kol	䑑
koloft&rin	䡠
kom	㡒
kon	け
kon&n	䜸
kon&nd&m	䘀
konE	䙲
koni	䘠
kor	䁖
korn	䅕
korsE	䍈
kot	㡁
kr&	䂖
kr&S	䂘
krak	䅡
kray	䑨
krim	倉
kris	㥣
ku	㉗
kuS	㌩
kub	䁴
kuculu	䕸
kuculu&m	㠣
kuf	㤵
kuh	㌁
kuk	䝩
kul	䑱
kum	䐐
kun	㝅
kund	䥕
kup	䊓
kur	䜷
kus	㡆
kut	㠰
kwan	䍀
l&	㌧
l&8	䄀
l&N	㕅
l&S	㝓
l&b	䘈
l&d	㎄
l&f	䠦
l&h	㙔
l&k	㔑
l&m	ㆄ
l&n	㍕
l&nd	㍥
l&r	㌇
l&st	䌤
l&t	㜥
l&vaS&ki	䎅
l&x	㙀
lE	ぅ
lES	㈱
lESt	㥳
lEb	㔙
lEd	䠲
lEf	䐔
lEh	㒅
lEks	䦂
lEm	䑓
lEn	㒆
lEr	䞘
lEs	䔣
lEt	㆔
lEz	䐢
la	〢
la8	㍀
laN	䦅
laS	㜗
lab	䂈
lad	䍴
lah	䍤
lak	䁳
lal	㦆
lam	㎔
lamp	䜴
lan	㍒
lans	䤸
larm	䍶
las	㔢
last	㦔
lat	㑹
lax	䅃
le	㑢
lek	䔅
li	も
li8	䉰
liN	㥸
liS	䀘
lid	㥆
lif	㙦
lik	㝄
lil	䘙
liliya	䈷
lim	䜰
lin	ㄤ
lis	㢀
list	䕴
lit	㕨
liz	䝗
lma	䡢
lo	㌳
lo8	䉲
loS	䕹
lob	䕅
lod	㥦
lof	䜕
lom	㤩
lon	㒂
lop	䀅
lor	䌲
lot	㒙
lotf	䘷
lu	ぢ
lu8	䠇
luS	㔄
lud	䂉
lul	䡖
lum	ㄡ
lun	䕉
lup	䜩
lus	䢕
lut	㦒
luz	䠳
m&	ば
m&8	㙃
m&8azEyE	䞂
m&8z	䍃
m&G	䎄
m&Gbur	䐵
m&S	㍧
m&d	㈰
m&f	䊉
m&h	䄡
m&k	㉷
m&ks	䉓
m&l	䌇
m&m	㍲
m&muliyE	䖑
m&n	㄁
m&nd	䞐
m&r	㚀
m&rd	䈩
m&rg	䠶
m&s	㝗
m&s&l&n	䔴
m&st	䍱
m&t	㝡
m&x	䐇
m&z	䙁
mE	ㆂ
mE8	䚆
mES	㊒
mEd	䑇
mEh	㍱
mEhr	䀇
mEl	䐄
mEnc	䡈
mEr	㐘
mErsi	䚐
mEs	ㄅ
mEsvak	䒃
mEt	㞗
mEtr	䔥
mEz	㍤
ma	〖
ma8	䝹
maS	䆃
mac	䠀
mad	䚔
mad&rbozorg	䡶
mah	㉉
mahpiSuni	䝐
mal	㔹
malad	䄅
mam	㥖
maman	䞆
mamanES	䒐
man	〩
man&m	䔦
mar	㉧
mas	䄴
mask	䄲
mast	㕢
mat	䈱
may	㘴
maz	倅
me	㊆
meE	䡡
med	䅴
mel	䉵
mhm	㒘
mi	〃
miS	㍂
miSE	䢈
miSk&nE	䤷
mic	䥑
mid	㔥
miduni	䙸
mif	䄆
mig	䑶
mik	䉐
mil	䞇
milk	㞆
mim	㜓
min	㉴
ming	䕄
mir	㑈
mis	㝱
mit&rEkE	䕔
mit&rs&m	䝕
mituni	䖀
mix	䔹
mixay	䠨
mixordi	䥥
miyu	䒙
miyuyE	䔀
miyuyiE	䜗
miz	㈗
mo	㈓
moG	䘗
moS	㜅
moSt	䑀
mob	䀩
mobl	㤙
moc	㢆
mod	㕷
moh	㜉
moh&m&d	䊄
mol	䖆
mom	㔅
mon	㜠
mor	㌰
mor8	㤔
mord	㘅
mos	䉈
mot	䈈
mox	䍇
moz	䍖
moz&f&r	䢀
mozd	䔕
mu	㉀
muS	㑗
mud	䥴
mul	䠅
mum	㌣
mun	だ
mund	䀃
mur	㙑
mus	䥀
mut	䜆
n&	ゔ
n&8	䆅
n&8S	䔔
n&S	㔸
n&dari	䘐
n&f	䉨
n&fS	䙇
n&h	䞕
n&k	㑐
n&kar&m	䝀
n&ko	㑧
n&kon	䒅
n&m	〗
n&mayES&m	䢆
n&n	ふ
n&nd	䐒
n&r	㑆
n&rm	䐡
n&s	㠤
n&sb	䐂
n&st	䂄
n&t	㒁
n&x	䔉
n&xord&st	䙗
n&z	㜵
nE	〆
nE8	䤘
nES	㉳
nET	䜄
nEks	㕀
nEkst	䑥
nEl	䈉
nEmidun&m	䍢
nEmik&nE	㥢
nEmixay	䑢
nEr	㌅
nEs	㑄
nEst	㘉
nEsv	䅆
nEt	ㄲ
nEvis	䚅
nEvis&m	䚄
na	〸
naG	䦗
naS	㉒
nab	䄹
nad	倁
nah	䞓
nak	㢕
nal	㤡
nam	䄸
nan	ㅑ
nanaz	㐇
nar	㥷
nas	䄣
nast	䄁
nat	㐆
nax	䀢
nay	䅗
naz	㘲
ne	㤐
neS	䖒
ni	こ
niS	㊇
nid	㙆
nif	䡔
nim	ㄶ
nin	ㅵ
nir	㤇
nis	㎅
nist	㈡
nit	㡧
no	ㆈ
no8	㕙
no8l	㖄
noc	䠷
noh	㤘
nok	㙒
nokES	䝓
nol	䕢
nom	䌥
nos	㤶
nox	䁵
noxodci	䙧
nu	ㄳ
nuS	䒈
nuSid&ni	䜦
nub	䐅
nul	䦉
num	じ
nun	㞈
nunz	䈴
nur	䐖
nut	䘘
nuz	㉓
o	㈔
of	㊗
oftadi	䥠
oh	㥑
om	㙉
om&di	䦁
omr	䠤
on	䥂
or	䀕
org	䚈
os	㉑
ota8E	䥱
ox	ㅗ
oy	䌢
p&	ㅆ
p&S	㘃
p&h	㌈
p&hn	䙉
p&k	䁹
p&m	䀶
p&n	㒖
p&nG	㑰
p&nS	䦀
p&r	㖐
p&rt	㜤
p&rtkon&st	䁧
p&rtkonE	䁨
p&s	ㄴ
p&st	䜣
p&x	䢄
p&xS	䅤
p&z	㒉
pE	ㄣ
pEG	㉁
pES	䉁
pESt	䒗
pEc	䘇
pEhr	䁂
pEl	㖕
pEn	䐩
pEr	㞘
pErt	㞖
pEs	䁓
pEt	㥕
pa	〘
paS	㕉
pag	䑈
pak	㘦
pam	㙸
pan	䚁
panG	䅹
panz	䙙
par	㥡
park	㥱
part	䕵
pas	㑵
pat	㤂
patEr&m	䑄
pay	䈓
paz	䥓
pe	㈁
pen	䄔
pi	ㄉ
piN	䂒
piS	㞁
pic	㤣
pid	㘧
pig	䖘
pis	䠩
pist	䘁
pit	㑖
ple	㜂
po	べ
poN	䂓
poS	㖉
poSt	㠐
pof	䔒
pol	㘳
por	㉕
pors	㝩
pos	䜶
post	䅔
pot	䎙
pox	䉧
poxt	䈂
pr&ns	䎁
pro	䌸
pu	ゆ
puS	䄐
puS&k	㤕
pud	䙠
pudr	䅱
pul	㥂
pul&tiyE	㡠
pum	䄈
pun	䅷
pund	䈸
punz	䆄
pus	䔱
pust	䍗
r&	㈀
r&8	㐠
r&8s	㔆
r&N	䉑
r&S	㡢
r&b	䆇
r&bt	䢅
r&d	㤨
r&f	㉃
r&ft	す
r&ftim	䥨
r&g	䆗
r&h	䂁
r&hm	䊇
r&k	䖔
r&m	㄄
r&n	へ
r&nG	䊐
r&ng	㘂
r&ns	䐙
r&s	䁒
r&st	㞅
r&t	㡓
r&x	㉸
r&xS	䘢
r&xt	㊈
r&xtExabayE	䡦
r&z	䐶
rE	〕
rEG	䔡
rES	て
rESk	䅦
rESt	䢐
rEc	䠁
rEd	㠈
rEf	㌤
rEft	㚁
rEh	䥰
rEk	㢙
rEl	䦃
rEm	䂆
rEn	㈩
rEnG	䅄
rEnd	䝵
rEr	䀥
rEs	㚕
rEst	䅑
rEt	㑣
rEx	䥧
rEz	䁸
rEza	䚙
ra	ㅹ
ra8	㑒
raG	䠉
raS	ㄐ
rab	㌔
rad	㚇
rah	㥅
rak	㢃
ram	㒀
ran	㔁
rar	㔴
ras	㍇
rast	㈠
rat	ㄦ
rax	䉣
raz	㙰
rd	㒐
re	㚅
reE	䜅
res	䁰
ri	〵
riN	㦐
riS	㐢
rib	䠴
rid	䁆
rif	㘔
rih	䞅
rik	䁗
ril	䙳
rim	ㆅ
rin	ㅃ
ris	㝖
rit	㡱
rix	㍙
rixt	㍖
riz	ㅣ
rizriz	䑔
ro	〹
roS	㥃
roSt	㘨
rob	㍶
rof	䝸
rok	䈙
rom	䘣
ros	㉨
rost	ぐ
ru	ㄹ
ru8	㠘
ruS	ㅰ
rub	䙩
rud	䜨
ruf	㔦
ruh	䕲
ruhm	䠥
rum	䂀
run	㘐
rund	䑷
rus	㖁
rut	㢉
rux	䑕
ruxt	䔢
ruz	㈐
s&	づ
s&N	䞒
s&S	䆒
s&b	㐹
s&br	ㅈ
s&bz	㍦
s&d	㞄
s&f	㤈
s&g	㠧
s&h	䘲
s&k	㐒
s&l	䅇
s&m	㑷
s&n	㐙
s&nd	䉸
s&ng	䠃
s&r	㎙
s&rd	㑁
s&rma	䖖
s&st	㠇
s&t	㞂
s&tl	㠷
s&var	䞈
s&var&n	䞉
s&variyE	䠰
s&x	㌓
s&xt	㌗
sE	〇
sES	㐃
sEb	䈠
sEd	䍸
sEf	㕡
sEfr	㡲
sEft	㉔
sEh	䌒
sEk	䑹
sEl	㦈
sEn	䄤
sEr	䌁
sErc	䕣
sErf	㈦
sErv	䝡
sEst	㥨
sEt	ㅸ
sEy	ㄇ
sa	㈆
saG	゘
saS	䄱
sab	䁤
saks	㢁
sal	㈇
sam	㡑
san	䍘
sand	䉷
sant	䞀
sar	㘆
sas	䆔
sat	㝔
sax	䄶
saxt	㜢
saz	䔑
se	㒑
sel	䡂
sen	䍧
si	々
siS	䡁
sib	䁷
sid	㘁
sif	㙁
sik	䕱
sim	䍔
sin	㔗
sir	㘒
sirk	㌵
sis	㝘
sit	㠵
siz	㤷
sket	㢓
sko	䥷
skul	䥉
so	ㅇ
sob	㐨
sobh	㐲
sod	倂
sof	䂂
soh	㡨
sol	䝃
son	㠖
sor	㡀
sorx	㝙
sos	㑸
sost	䢃
sot	䚀
spa	䌳
spun	䅠
ste	䀲
stra	㦄
su	㐣
sud	㘈
sul	䊂
sun	㡄
sund	䍠
sup	㚂
surax	䐴
sus	䀒
susk	䌑
sut	䥄
sux	䀐
suxt	䀉
suxtE	䂅
t&	ㄒ
t&8	㌀
t&G	䕤
t&N	㚆
t&S	㚖
t&St	䕑
t&b	㕵
t&f	䞄
t&h	㌂
t&k	㘹
t&l	㘣
t&lx	䉡
t&m	ㅨ
t&n	㍔
t&nk	䆐
t&nz	䀖
t&p	㤆
t&r	〄
t&rh	䕰
t&rk	䡴
t&rs	㈨
t&s	䐱
t&st	䌕
t&t	䘩
t&v	䦆
t&v&	䘦
t&x	㆙
t&xr	㤢
t&xt	㞒
tE	つ
tE8	䔠
tES	㉩
tEf	㎘
tEh	䉘
tEk	䀤
tEl	䕙
tEm	㊐
tEn	䁔
tEps	㠸
tEr	㞀
tEri	䜳
tErm	䕧
tEs	㢑
tEst	㢐
tEt	㕶
ta	ゅ
ta8	㕦
taG	䘡
taS	㐵
tab	㕄
tad	㊘
tah	䘹
tak	㠩
tal	䕠
tam	㙹
tan	㎖
tank	㝁
tar	䂙
tas	䡉
tast	㍁
tat	㤱
taxt	䥡
tay	䖕
taym	䊈
te	㜃
tek	䐷
ti	ㅔ
ti8	䄄
tiS	㝶
tid	䔄
tif	䘸
tik	㝲
til	㠒
tim	㐩
tin	㌥
ting	䝥
tir	㚔
tis	䤱
tit	䙴
tiveS	䡳
tiyE	䔳
tiz	㑳
tizkon	䚉
to	〙
tob	㡶
tof	䄉
tof&N	䥹
tohm	䝳
tom	㑲
ton	㠔
tond	䆙
top	䢑
tor	㉅
torS	䘑
tord	䜂
tork	㥧
tost	䉳
tox	㤓
toxm	㔳
tr&k	㢄
tri	䉖
tro	㑨
trol	㤁
tu	ㅡ
tuS	㠄
tub	䔸
tuk	䎇
tul	㎃
tun	ㄖ
tunz	䀑
tup	㎐
tur	䀰
tus	倃
tut	䠡
u	ど
uS	䁉
ub	䤡
ud	䦑
um	䁐
um&d&n	䔁
un	〣
unGa	䤕
unGana	䤖
unv&8t	䒀
ups	䈗
ur	䢖
ut	䐓
ux	䝢
v&	㈶
v&8	㉣
v&8t	㑴
v&8tE	䠸
v&S	䅥
v&d	䁀
v&h	㝷
v&hS	䑣
v&l	ㅁ
v&m	㦙
v&n	䚒
v&nd	䔧
v&r	㍉
v&r&8	䤑
v&s	䍷
v&sl	㠉
v&st	䡨
v&t	䉹
v&z	㜈
v&zn	㝈
vE	㔈
vES	㝨
vESt	㡷
vEl	㦖
vEr	㘡
vErd	䝄
va	ゃ
va8	䤠
va8&n	䌀
va8t	䤐
vaG	䎐
vaS	㍩
vab	㖙
vad	䅒
vak	㡦
val	䍦
vam	倄
van	㥗
var	㘕
vars	䑉
vas	䍑
vast	䄂
vat	䆖
vax	䥐
vaxt	䦖
vay	ㅒ
vays	䥙
vaysa	䝁
vaz	㝵
vi	㒇
vi8	㜣
viG	䁶
viS	䤲
vic	䐣
vid	㘀
vik	䌱
vil	䌰
vim	䘂
vin	䉔
vis	䅓
vist	㥴
viz	䌹
vo	㖆
vom	䅁
vor	㈕
vord	㙠
vu	㞐
vud	䝇
vul	䖅
vum	䈕
vun	䙃
vus	䍳
wa	㔘
wan	䐸
win	䈵
wu	䄗
wudpEkEr	䄘
x&	㆖
