!	ㄤ
#	ㅠ
$	㊉
su	ㄉ
sus	㉥
t!	㒗
t#	㉢
t$	㔗
t%	㑑
t&	㐂
t*	ぉ
t+	㊈
t-	㉴
t3	ㅴ
t@	㐓
tRun	㌈
ta	〔
tam	ら
tan	㈖
tar	ㅦ
tas	㆘
te	〇
teN	㍅
ten	ㅤ
tend	㒁
ter	㌁
tes	゗
ti	ㄙ
tla	㌢
to	぀
ton	㒂
tor	㒈
tos	㈗
tr+	㔥
tr-	㌹
tr3	㌙
tra	ㄢ
trar	㐶
tras	㉒
tre	㐷
tres	㉑
tri	㐢
tro	ど
trom	㑔
tros	゘
trunR	㌇
tsi	㊘
tu	ㄑ
tuk	ㆅ
tus	㌵
u	〸
um	ㄲ
un	〵
x$	ㄩ
x+	㑦
x-	㔔
x3	㔠
xa	で
xand	㑧
xas	㍘
xax	㉀
xe	㉣
xes	㑓
xi	㉵
xo	ひ
xor	ㅄ
xos	㉦
xu	〰
zRa	ㄶ
zle	ㅇ
|	ぶ
