!	ㄤ
#	ㅡ
#n	㐠
$	㊉
t*	ぉ
t*n	㔄
t+	㊈
t-	㉷
t3	ㅶ
t@	㐓
tRun	㌈
ta	〔
tam	よ
tan	㈖
tar	ㅧ
tas	〄
te	〇
teN	㍇
ten	ㅥ
tend	㒁
ter	㌂
tes	ゖ
ti	ㄘ
to	぀
ton	㈠
tor	㒅
tos	ㄡ
tr+	㔨
tr-	㍁
tr3	㌠
tra	ㄢ
trar	㐳
tras	㉕
tre	㐴
tres	㉓
tri	㐡
tro	と
trom	㑉
tros	゗
trunR	㌇
tsi	㊙
tu	ㄐ
tuk	ㆆ
tus	㌷
u	〸
um	ㄲ
un	〵
x$	ㄩ
x+	㑥
x-	㔒
x3	㔠
xa	て
xand	㑦
xas	㍡
xax	㈸
xe	㉧
xes	㑈
xi	㉸
xo	ぱ
xor	ㅄ
xos	㉰
xu	〰
xun	㉵
|%	㉶
|-	㔢
|a	㊓
|an	㌶
|ar	㌲
|e	ぴ
|i	㍅
|o	㈹
|or	㑙
|os	㑘
