!	!
#	#
$Bito	$/Bi/to
aoritaa	a/o/ri/ta/a
apacuRale	a/pa/cu/Ra/le
apr#tale	a/pr#/ta/le
apr#talee	a/pr#/ta/le/e
ar	ar
arBol	ar/Bol
ara	a/ra
aremos	a/re/mos
armar	a/rmar
aron	a/ron
arte	ar/te
arturo	ar/tu/ro
as#	a/s#
as#ndo	a/s#/ndo
as#ndu	a/s#/ndu
as%	a/s%
ase	a/se
asee	a/se/e
asemos	a/se/mos
asen	a/sen
aser	a/ser
aserkate	a/ser/ka/te
aserle	a/ser/le
ases	a/ses
asi	a/si
asii	a/si/i
asta	a/sta
astaa	a/sta/a
aste	a/ste
atoraste	a/to/ra/ste
atras	a/tras
atro	a/tro
ax	ax
ax-	a/x-
axa	a/xa
axaxax	a/xa/xax
azle	a/zle
azlee	a/zle/e
a|o	a/|/o
a|os	a/|/os
b#n	b#n
b#nes	b#/nes
b$lta	b$l/ta
b$n3	b$/n3
b$no	b$/no
b-la	b-/la
b3	b3
ba	ba
baBa	ba/Ba
baa	ba/a
baka	ba/ka
baler%	ba/le/r%
bamos	ba/mos
bas	bas
be	be
beBa	be/Ba
beBe	be/Be
bee	be/e
bemos	be/mos
ben	ben
bente	be/nte
ber	ber
berDaD	ber/DaD
bes	bes
beso	be/so
bete	be/te
beto	be/to
biBee	bi/Be/e
biste	bi/ste
bonito	bo/ni/to
braBo	bra/Bo
braBoo	bra/Bo/o
bu	bu
bum	bum
caNgit3	caN/gi/t3
caNgito	caN/gi/to
caNgitoo	caN/gi/to/o
caNgitos	caN/gi/tos
caNgo	caN/go
caNgoo	caN/go/o
caa	ca/a
camos	ca/mos
cc	cc
ccc	ccc
ci	ci
cikita	ci/ki/ta
cikitaa	ci/ki/ta/a
cikitito	ci/ki/ti/to
cikito	ci/ki/to
cil*	ci/l*
cile	ci/le
cit	cit
coko	co/ko
culo	cu/lo
d#s	d#s
d$rme	d$/rme
d$rmela	d$/rme/la
d$rmelo	d$/rme/lo
d$rmes	d$/rmes
dale	da/le
dalee	da/le/e
dame	da/me
damee	da/me/e
damel3	da/me/l3
damela	da/me/la
damelo	da/me/lo
damelos	da/me/los
damos	da/mos
danae	da/na/e
dasela	da/se/la
daselaa	da/se/la/a
daselo	da/se/lo
de	de
dee	de/e
dexa	de/xa
dexeme	de/xe/me
di	di
dile	di/le
dilee	di/le/e
diles	di/les
dona	do/na
dond*	do/nd*
donde	do/nde
dondee	do/nde/e
dormimos	do/rmi/mos
dos	dos
e	e
eDGar	eD/Gar
ecaa	e/ca/a
ecala	e/ca/la
ecalaa	e/ca/la/a
ecalo	e/ca/lo
ecalos	e/ca/los
ecame	e/ca/me
ecamee	e/ca/me/e
ecamela	e/ca/me/la
ecamelaa	e/ca/me/la/a
ecamelo	e/ca/me/lo
ecamos	e/ca/mos
ecar	e/car
ecarlo	e/car/lo
ecarlos	e/car/los
ecarselos	e/car/se/los
ecaselaa	e/ca/se/la/a
ecaselas	e/ca/se/las
ee	e/e
eja	e/ja
ejas	e/jas
el	el
elot*	e/lo/t*
elote	e/lo/te
elotee	e/lo/te/e
empuxas	em/pu/xas
en	en
enRik*	e/nRi/k*
enRike	e/nRi/ke
enkontrar	e/nkon/trar
ense	en/se
ensee	en/se/e
enseo	en/se/o
ense|ame	en/se/|/a/me
ense|ar	en/se/|/ar
ense|arte	en/se/|/ar/te
ense|aselo	en/se/|/a/se/lo
ense|e	en/se/|/e
ense|o	en/se/|/o
entonses	e/nton/ses
epale	e/pa/le
eres	e/res
es	es
es+	e/s+
es3	e/s3
esa	e/sa
esaa	e/sa/a
ese	e/se
esee	e/se/e
esf$rso	es/f$r/so
eskoBetija	es/ko/Be/ti/ja
eskucaste	es/ku/ca/ste
eso	e/so
esoo	e/so/o
esos	e/sos
esperamee	e/spe/ra/me/e
esperate	e/spe/ra/te
esperatee	e/spe/ra/te/e
espex3	e/spe/x3
espexo	e/spe/xo
esposa	e/spo/sa
est*	e/st*
est+	e/st+
est-	e/st-
est3	e/st3
esta	e/sta
estaBa	e/sta/Ba
estaa	e/sta/a
estan	e/stan
estas	e/stas
este	e/ste
estee	e/ste/e
estes	e/stes
esto	e/sto
estos	e/stos
estu	e/stu
f$	f$
f$ra	f$/ra
f$ron	f$/ron
f$rte	f$r/te
f$rtee	f$r/te/e
falt+	fal/t+
falta	fal/ta
faltaBa	fal/ta/Ba
fan%	fa/n%
fani	fa/ni
fea	fe/a
fer	fer
fiGuraa	fi/Gu/ra/a
filmando	fil/ma/ndo
fixaste	fi/xa/ste
fixate	fi/xa/te
fixatee	fi/xa/te/e
flor	flor
floresita	flo/re/si/ta
foto	fo/to
fotos	fo/tos
fruta	fru/ta
fuci	fu/ci
fucila	fu/ci/la
g&	g&
g&G&	g&/G&
g&rDa	g&r/Da
g&rDaa	g&r/Da/a
g&rDamos	g&r/Da/mos
g&u	g&/u
gaBi	ga/Bi
gatito	ga/ti/to
gato	ga/to
gorDa	gor/Da
gorDo	gor/Do
gorDoo	gor/Do/o
gras%s	gra/s%s
i	i
iBan	i/Ban
ii	i/i
ir	ir
ir+	i/r+
ira	i/ra
iraa	i/ra/a
itamar	i/ta/mar
ixa	i/xa
ixaa	i/xa/a
ixita	i/xi/ta
ixo	i/xo
ixole	i/xo/le
ixolee	i/xo/le/e
j#	j#
j%	j%
j-	j-
j3	j3
j@	j@
ja	ja
jaa	ja/a
jam-	ja/m-
jama	ja/ma
jamaa	ja/ma/a
jamalo	ja/ma/lo
jaman	ja/man
jaman%	ja/ma/n%
jamas	ja/mas
jamo	ja/mo
jantas	ja/ntas
jeBalos	je/Ba/los
jeBamos	je/Ba/mos
jeBan	je/Ban
jeBar	je/Bar
jeBarlo	je/Bar/lo
jeBarnos	je/Ba/rnos
jeBo	je/Bo
jeGe	je/Ge
jenar	je/nar
ji	ji
jiji	ji/ji
jo	jo
jolis	jo/lis
joo	jo/o
jorando	jo/ra/ndo
jorar	jo/rar
jores	jo/res
juDar	ju/Dar
k#	k#
k#n	k#n
k#nes	k#/nes
k#r3	k#/r3
k#ra	k#/ra
k#re	k#/re
k#ren	k#/ren
k#res	k#/res
k#ro	k#/ro
k#ru	k#/ru
k#s	k#s
k#tos	k#/tos
k$nto	k$/nto
k$rnos	k$/rnos
k%	k%
k&	k&
k&k&k&	k&/k&/k&
k&l	k&l
k&lk#ra	k&l/k#/ra
k&ntas	k&/ntas
k&nto	k&/nto
k&ntos	k&/ntos
k&tro	k&/tro
k*	k*
k-	k-
ka	ka
ka*	ka/*
kaBajo	ka/Ba/jo
kaBe	ka/Be
kaBo	ka/Bo
kaR3	ka/R3
kaReras	ka/Re/ras
kaRit3	ka/Ri/t3
kaRito	ka/Ri/to
kaRitu	ka/Ri/tu
kaRo	ka/Ro
kaRos	ka/Ros
kaRu	ka/Ru
kaa	ka/a
kacala	ka/ca/la
kacete	ka/ce/te
kae	ka/e
kaer	ka/er
kaes	ka/es
kajate	ka/ja/te
kajeron	ka/je/ron
kajo	ka/jo
kaju	ka/ju
kalaBasita	ka/la/Ba/si/ta
kam@n	ka/m@n
kamara	ka/ma/ra
kamina	ka/mi/na
kamita	ka/mi/ta
kampanit-	kam/pa/ni/t-
kampanita	kam/pa/ni/ta
kansaste	kan/sa/ste
kantas	ka/ntas
kar%	ka/r%
karGaa	kar/Ga/a
karGamos	kar/Ga/mos
karen	ka/ren
kari	ka/ri
karii	ka/ri/i
karit-	ka/ri/t-
karita	ka/ri/ta
karitas	ka/ri/tas
kari|ito	ka/ri/|/i/to
kari|itos	ka/ri/|/i/tos
karlitos	kar/li/tos
karne	ka/rne
kasa	ka/sa
kasita	ka/si/ta
kat%	ka/t%
kati	ka/ti
kaxa	ka/xa
kaxaa	ka/xa/a
kaxita	ka/xi/ta
ke	ke
keDa	ke/Da
keDaa	ke/Da/a
keDando	ke/Da/ndo
keDo	ke/Do
kee	ke/e
keline	ke/li/ne
ker	ker
keremos	ke/re/mos
kerias	ke/ri/as
kes3	ke/s3
kesito	ke/si/to
keso	ke/so
kesu	ke/su
ki	ki
kitamos	ki/ta/mos
kitar	ki/tar
kites	ki/tes
kito	ki/to
kl+D%	kl+/D%
koR*	ko/R*
koRe	ko/Re
koRele	ko/Re/le
koc*	ko/c*
koce	ko/ce
kocee	ko/ce/e
koces	ko/ces
kocesito	ko/ce/si/to
kocinito	ko/ci/ni/to
kocino	ko/ci/no
kojar	ko/jar
koketa	ko/ke/ta
kokita	ko/ki/ta
komas	ko/mas
kome	ko/me
komee	ko/me/e
komele	ko/me/le
komen	ko/men
komer	ko/mer
komerte	ko/mer/te
komes	ko/mes
komete	ko/me/te
kometela	ko/me/te/la
kometelo	ko/me/te/lo
komi	ko/mi
komiD-	ko/mi/D-
komiDa	ko/mi/Da
komiDaa	ko/mi/Da/a
komiDita	ko/mi/Di/ta
komiDitaa	ko/mi/Di/ta/a
komiDitas	ko/mi/Di/tas
kommiGo	kom/mi/Go
komo	ko/mo
komoDalo	ko/mo/Da/lo
komponer	kom/po/ner
kon	kon
konexito	ko/ne/xi/to
konexo	ko/ne/xo
kontiG3	ko/nti/G3
kontiGo	ko/nti/Go
kosa	ko/sa
kosas	ko/sas
kosit-	ko/si/t-
kosita	ko/si/ta
kositas	ko/si/tas
ksakto	ksak/to
kuBitos	ku/Bi/tos
kuBos	ku/Bos
kucara	ku/ca/ra
kucaraa	ku/ca/ra/a
kucarit-	ku/ca/ri/t-
kucarita	ku/ca/ri/ta
kum	kum
kumpl@	kum/pl@
kuna	ku/na
l	l
l$Go	l$/Go
l$Gu	l$/Gu
l*	l*
l*Da	l*/Da
l+	l+
l-	l-
l3	l3
la	la
laBarlos	la/Bar/los
laDo	la/Do
laa	la/a
laralara	la/ra/la/ra
las	las
le	le
leNg&	leN/g&
lec*	le/c*
lece	le/ce
lecee	le/ce/e
lecita	le/ci/ta
lecitaa	le/ci/ta/a
lecuG-	le/cu/G-
lecuGa	le/cu/Ga
lee	le/e
lexandro	le/xand/ro
liBro	li/Bro
liBros	li/Bros
limon	li/mon
lindo	li/ndo
lis	lis
listo	li/sto
lo	lo
los	los
lote	lo/te
lusia	lu/si/a
m	m
m!	m!
m#	m#
m#ntras	m#n/tras
m$	m$
m$Bele	m$/Be/le
m$rDe	m$r/De
m%	m%
m&	m&
m+ri	m+/ri
m+ric@	m+/ri/c@
maGDalenita	maG/Da/le/ni/ta
maks$l	ma/ks$l
mala	ma/la
mam+	ma/m+
mam-	ma/m-
mama	ma/ma
mamaa	ma/ma/a
mamasita	ma/ma/si/ta
mamila	ma/mi/la
mamilaa	ma/mi/la/a
man3	ma/n3
mandamos	ma/nda/mos
mandarina	ma/nda/ri/na
mandarinaa	ma/nda/ri/na/a
manita	ma/ni/ta
manitaa	ma/ni/ta/a
mano	ma/no
mansan-	man/sa/n-
mansana	man/sa/na
mansanit+	man/sa/ni/t+
mansanita	man/sa/ni/ta
mar#	ma/r#
mar%	ma/r%
mar%n-	ma/r%/n-
mar%na	ma/r%/na
mar%naa	ma/r%/na/a
mar%nitaa	ma/r%/ni/ta/a
mara	ma/ra
marcos	mar/cos
mari	ma/ri
mariBel	ma/ri/Bel
maria	ma/ri/a
markitos	mar/ki/tos
marta	mar/ta
martaa	mar/ta/a
martijo	mar/ti/jo
martijoo	mar/ti/jo/o
mas	mas
maz$l	maz/$l
mbre	mbre
mbree	mbre/e
me	me
meD@	me/D@
mee	me/e
mendes	me/ndes
mesa	me/sa
mesaa	me/sa/a
met@	me/t@
meta	me/ta
metan	me/tan
metelas	me/te/las
metelo	me/te/lo
metelos	me/te/los
meter	me/ter
meterlos	me/ter/los
meto	me/to
mexor	me/xor
mi	mi
mi&	mi/&
mi+	mi/+
miGelin	mi/Ge/lin
miGelito	mi/Ge/li/to
miGo	mi/Go
micel	mi/cel
mii	mi/i
mio	mi/o
mios	mi/os
mir%m	mi/r%m
mir+	mi/r+
mir-	mi/r-
mira	mi/ra
miraa	mi/ra/a
mis	mis
moBer	mo/Ber
mona	mo/na
monitos	mo/ni/tos
mono	mo/no
mor	mor
morDiDa	mor/Di/Da
morDiDaa	mor/Di/Da/a
mos@n	mo/s@n
mu	mu
muco	mu/co
mucos	mu/cos
muu	mu/u
mu|ek-	mu/|/e/k-
mu|eka	mu/|/e/ka
mu|ekito	mu/|/e/ki/to
mu|eko	mu/|/e/ko
mu|eku	mu/|/e/ku
mx	mx
mx&	mx&
n	n
n$Be	n$/Be
n%	n%
n+	n+
n-	n-
n3	n3
n@	n@
nRike	nRi/ke
na	na
naBel	na/Bel
naDa	na/Da
naa	na/a
naranx+	na/ran/x+
naranxa	na/ran/xa
naris	na/ris
ndale	nda/le
nena	ne/na
nene	ne/ne
nenee	ne/ne/e
nenene	ne/ne/ne
nenes	ne/nes
ni	ni
nikole	ni/ko/le
nita	ni/ta
ni|-	ni/|/-
ni|a	ni/|/a
ni|o	ni/|/o
ni|os	ni/|/os
nkontre	nkon/tre
no	no
noo	no/o
nos	nos
noxaste	no/xa/ste
noxes	no/xes
nteresa	nte/re/sa
nteresaa	nte/re/sa/a
ntereso	nte/re/so
ntonses	nton/ses
nu	nu
o	o
oBeD#nte	o/Be/D#/nte
oJ*	o/J*
oJe	o/Je
oJee	o/Je/e
oco	o/co
ol-	o/l-
ola	o/la
olaa	o/la/a
olerlaa	o/ler/la/a
ombre	o/mbre
or+	o/r+
ora	o/ra
oraa	o/ra/a
orale	o/ra/le
orita	o/ri/ta
ormiGita	o/rmi/Gi/ta
osito	o/si/to
oso	o/so
otr+	o/tr+
otr-	o/tr-
otr3	o/tr3
otra	o/tra
otraa	o/tra/a
otras	o/tras
otro	o/tro
otroo	o/tro/o
otros	o/tros
oxearlo	o/xe/ar/lo
oxitos	o/xi/tos
oxos	o/xos
p#	p#
p#rna	p#/rna
p#rnitas	p#/rni/tas
p$D*	p$/D*
p$De	p$/De
p$Des	p$/Des
p$rta	p$r/ta
p$s	p$s
p*na	p*/na
p*naa	p*/na/a
p*namos	p*/na/mos
p*nando	p*/na/ndo
p*nar	p*/nar
p*narlo	p*/nar/lo
p*narnos	p*/na/rnos
p*narte	p*/nar/te
p*nate	p*/na/te
p*ne	p*/ne
p*nee	p*/ne/e
p+	p+
p+la	p+/la
p+lina	p+/li/na
p3N	p3N
p@	p@
p@p@p@	p@/p@/p@
pa	pa
paDre	pa/Dre
paDree	pa/Dre/e
paDrisimo	pa/Dri/si/mo
pajasito	pa/ja/si/to
pajaso	pa/ja/so
pakatelas	pa/ka/te/las
palito	pa/li/to
palitos	pa/li/tos
palos	pa/los
pam	pam
pan	pan
pansa	pan/sa
pao	pa/o
pap-	pa/p-
papa	pa/pa
papaa	pa/pa/a
papas	pa/pas
papasito	pa/pa/si/to
papi	pa/pi
par+	pa/r+
par-	pa/r-
para	pa/ra
paraDito	pa/ra/Di/to
paraDos	pa/ra/Dos
paraa	pa/ra/a
parar	pa/rar
pare	pa/re
parese	pa/re/se
pas	pas
pas3	pa/s3
pasa	pa/sa
pasaa	pa/sa/a
pasame	pa/sa/me
pasamee	pa/sa/me/e
pasar	pa/sar
pasear	pa/se/ar
paseo	pa/se/o
paso	pa/so
pasoo	pa/so/o
pastel	pa/stel
pat3	pa/t3
pati	pa/ti
patito	pa/ti/to
pato	pa/to
paxarito	pa/xa/ri/to
peDasito	pe/Da/si/to
peDir	pe/Dir
peDrito	pe/Dri/to
peDro	pe/Dro
peGa	pe/Ga
peGale	pe/Ga/le
peGarle	pe/Gar/le
peGas	pe/Gas
peRito	pe/Ri/to
peRo	pe/Ro
peRoo	pe/Ro/o
pelaDo	pe/la/Do
pelo	pe/lo
pelos	pe/los
pelot-	pe/lo/t-
pelota	pe/lo/ta
pelotaa	pe/lo/ta/a
pelotita	pe/lo/ti/ta
pelotitaa	pe/lo/ti/ta/a
pelucitos	pe/lu/ci/tos
pep*	pe/p*
pepe	pe/pe
per	per
pera	pe/ra
perame	pe/ra/me
perate	pe/ra/te
pero	pe/ro
peru	pe/ru
pi	pi
pic	pic
pik	pik
pika	pi/ka
pikaa	pi/ka/a
pikale	pi/ka/le
pikalee	pi/ka/le/e
pin	pin
pio	pi/o
pipi	pi/pi
pitufo	pi/tu/fo
plat3	pla/t3
platan3	pla/ta/n3
platanito	pla/ta/ni/to
platano	pla/ta/no
platanoo	pla/ta/no/o
platanos	pla/ta/nos
platika	pla/ti/ka
platisamelos	pla/ti/sa/me/los
platit3	pla/ti/t3
platito	pla/ti/to
platitos	pla/ti/tos
platitu	pla/ti/tu
plato	pla/to
platos	pla/tos
poBre	po/Bre
poBresito	po/Bre/si/to
poDemos	po/De/mos
poNgamos	poN/ga/mos
poNgo	poN/go
poj3	po/j3
pojito	po/ji/to
pojitu	po/ji/tu
pojo	po/jo
pojoo	po/jo/o
pok3	po/k3
pokatelas	po/ka/te/las
pokito	po/ki/to
poko	po/ko
pommee	pom/me/e
pommelo	pom/me/lo
pon	pon
pon#ndo	po/n#/ndo
ponemos	po/ne/mos
ponen	po/nen
poner	po/ner
ponerlo	po/ner/lo
ponerlos	po/ner/los
ponla	pon/la
ponlaa	pon/la/a
ponle	pon/le
ponlee	pon/le/e
ponlo	pon/lo
ponlos	pon/los
ponsela	pon/se/la
ponselaa	pon/se/la/a
ponselo	pon/se/lo
ponselos	pon/se/los
por	por
porke	por/ke
porkee	por/ke/e
pr#tale	pr#/ta/le
pr$Bala	pr$/Ba/la
pres#nale	pre/s#/na/le
prestame	pre/sta/me
prestamee	pre/sta/me/e
prestamelo	pre/sta/me/lo
prestamelos	pre/sta/me/los
prestar	pre/star
prestas	pre/stas
presto	pre/sto
prestu	pre/stu
primero	pri/me/ro
pst	pst
pum	pum
pumpumpum	pum/pum/pum
pupupu	pu/pu/pu
purum	pu/rum
puso	pu/so
r	r
r+	r+
ra	ra
ramonsito	ra/mon/si/to
rapiDa	ra/pi/Da
raton	ra/ton
reGalo	re/Ga/lo
reGresa	re/Gre/sa
reia	re/i/a
rekoxelos	re/ko/xe/los
rekoxemos	re/ko/xe/mos
res	res
rezBalaDija	rez/Ba/la/Di/ja
rika	ri/ka
rikaa	ri/ka/a
riko	ri/ko
riku	ri/ku
rmar	rmar
rmoso	rmo/so
rnesto	rne/sto
roko	ro/ko
rompe	rom/pe
rompen	rom/pen
rompes	rom/pes
roxaa	ro/xa/a
roxo	ro/xo
ru	ru
ruBen	ru/Ben
run	run
runrun	run/run
s	s
s!	s!
s#	s#
s#Rales	s#/Ra/les
s#Ralo	s#/Ra/lo
s#Ran	s#/Ran
s#ndo	s#/ndo
s#ntat*	s#/nta/t*
s#ntate	s#/nta/te
s#ntatee	s#/nta/te/e
s#ron	s#/ron
s#te	s#/te
s$	s$
s$lo	s$/lo
s$nan	s$/nan
s%	s%
s&	s&
s&Besito	s&/Be/si/to
s*	s*
s*s	s*s
s3	s3
s@	s@
sa	sa
saBe	sa/Be
saBes	sa/Bes
saBrosa	sa/Bro/sa
saBroso	sa/Bro/so
sakalo	sa/ka/lo
sakalos	sa/ka/los
sakamos	sa/ka/mos
sakar	sa/kar
sakarlos	sa/kar/los
sal	sal
sal#ndo	sa/l#/ndo
sal@	sa/l@
salG+	sal/G+
salGa	sal/Ga
salGan	sal/Gan
salGas	sal/Gas
sale	sa/le
salee	sa/le/e
salir	sa/lir
saluDando	sa/lu/Da/ndo
saluDar	sa/lu/Dar
sanahoria	sa/nah/o/ri/a
sand!c	sa/nd!c
sapatos	sa/pa/tos
sari	sa/ri
se	se
seRamos	se/Ra/mos
seRaron	se/Ra/ron
see	se/e
sel%	se/l%
selina	se/li/na
semos	se/mos
sentamos	se/nta/mos
sentar	se/ntar
sentarla	se/ntar/la
sentarlaa	se/ntar/la/a
sepijito	se/pi/ji/to
ser	ser
seresa	se/re/sa
seresas	se/re/sas
