@/Si	㘶㊀
^n/sn@p	㎒㎀
^n/sn@pt	㎒㚈
^n/str@p	㎒㎈
^p	け
^p/sEt	け㜷
^p/sYd	け㈓
^p/si	けゔ
^p/sx	け㡇
^s	㊅
^v	ㄨ
a	䀘
a/ha	䀘䅢
a/nIst/li	䀘全㊄
a/px/zIt	䀘㔑㝁
af	䜇
ak/to/bR	㡶㙆㌂
ak/tx/pxs	㡶ㄱ儐
an	う
an/lYn	う㤣
an/tu	うら
ap	㢂
ap/SInz	㢂㢃
ar	だ
ar/CIz	だ㘳
ar/farf	だ䤘
ar/mi	だ〈
ar/sElf	だ㔨
arg/yu/IG	䅣〨と
ark	䥒
arm	䔃
armz	䄂
arnt	㐠
b@/Trum	㐓㦒
b@/blIG	㐓䅥
b@/kIG	㐓へ
b@/kcr/dRd	㐓㈰䐃
b@/kwRdz	㐓䒁
b@/kyard	㐓䑰
b@/lx/ri/nx	㐓㘀ㄢ〖
b@/lxns	㐓䍴
b@/skIt/bcl	㐓㐔㍘
b@/skIts	㐓䉶
b@/tx/ri	㐓ㄱㄢ
b@G	㌨
b@G/IG	㌨と
b@Gk	䦒
b@T	㝅
b@T/t^b	㝅㌣
b@Ts	䡐
b@d	㑘
b@g	㝠
b@gz	㡆
b@k	ㅡ
b@k/twIst	ㅡ䦔
b@kt	䔓
b@m	䍇
b@s/kIt	㘧㖁
b@t	䙒
bE/drum	ㄓ䄠
bE/li	ㄓ㊄
bE/tR	ㄓㄔ
bEd	㌲
bEd/tYm	㌲㉁
bEdz	䘒
bEl	䍷
bElC	䝧
bElt	㥒
bEn/Jx/mIn	䒉㠸䥸
bEn/dIG	䒉ぴ
bEnd	䔒
bErz	䅔
bEst	䕧
bEt	㐣
bI/bi	㒃゙
bI/gR	㒃㍔
bI/k^/mIG	㒃ㅥ㙴
bI/k^m	㒃ぃ
bI/skIts	㒃䉶
bI/tR	㒃ㄔ
bI/ti	㒃〄
bI/zi	㒃㑤
bIG/go	䌁ぇ
bIG/ki	䌁〴
bIb	㒈
bIg	す
bIl	兖
bIl/dIG	兖ぴ
bIl/dIGz	兖䍁
bIld	䤖
bIn	㍵
bIt	㉑
bO	㘗
bOl	䠉
bOz	傀
bR/di	㌂㈷
bR/nIG	㌂ㆉ
bRT/de	儨ㄶ
bRd	䁑
bRd/fi/dR	䁑㌖㎓
bRdz	䖈
bRk	剀
bRn	䡦
bRp	䌗
bRps	偵
bRpt	傉
bRt	䤄
bU/gR	㊈㍔
bU/gi	㊈〆
bU/ki	㊈〴
bU/kiz	㊈㕑
bU/li	㊈㊄
bU/li/IG	㊈㊄と
bU/liz	㊈㠒
bUk	㉄
bUks	㈴
bUl/frag	䅦䅧
bWn/dR	㙢㎓
bWn/sIG	㙢ㅩ
bWn/sR	㙢ㅓ
bWn/si	㙢ゔ
bWns	㐘
bY	㍆
bY/bY	㍆㍆
bY/bYz	㍆䉂
bY/bxl	㍆㌆
bY/na/kyx/lRz	㍆㍇㍈ㅦ
bY/sI/kxl	㍆㊃ㅔ
bY/tIG	㍆〠
bYk	䍙
bYt	㐵
bYts	㦉
b^/bx/lR	㒔ㆁ㖕
b^/bxl	㒔㌆
b^/bxlz	㒔㔈
b^/di	㒔㈷
b^/diz	㒔㐒
b^/gIG	㒔䈅
b^/kIt	㒔㖁
b^/kxl	㒔ㅔ
b^/kxlz	㒔㆓
b^/mR	㒔㌶
b^/mi	㒔〈
b^/miz	㒔ㄗ
b^/ni	㒔㈕
b^/ni/r@/bIt	㒔㈕ㅆ㉑
b^/ni/r@/bIts	㒔㈕ㅆ䦄
b^/niz	㒔䎐
b^/stId	㒔㘘
b^/t@/n^t	㒔㝹ㆃ
b^/tR/bcl	㒔ㄔ㍘
b^/tR/flYz	㒔ㄔ包
b^/tR/n^/ti	㒔ㄔ㎕〄
b^/tRf/lY	㒔䔧䆃
b^/txn	㒔㕄
b^/txnz	㒔䚗
b^d	䤰
b^dz	䕥
b^g	䤷
b^gd	䙤
b^gz	䦘
b^m	䁳
b^m/bxl/biz	䁳㌆㔗
b^m/pI/ti	䁳㔱〄
b^mp	㈇
b^mpt	㈅
b^nC	㒇
b^s	䁈
b^s/tR	䁈ㄔ
b^st	匕
b^t	㉰
ba	ㄧ
ba/Dx/rIG	ㄧ䥩㙖
ba/bak	ㄧ㈒
ba/bx	ㄧㆁ
ba/di	ㄧ㈷
ba/txl	ㄧぢ
ba/txlz	ㄧ䆘
ba/txm	ㄧ䕅
baG/go	刲ぇ
baG/goz	刲ㅶ
baGk	䍈
baGkt	們
baks	㉸
bap	倷
bar	㐅
bar/bElz	㐅刳
bar/bx/kyu	㐅ㆁ㌥
bar/kIG	㐅へ
bar/ni	㐅㈕
bark	䤶
barz	䔱
bc/lIG	兡㈨
bc/sIG	兡ㅩ
bcl	㍘
bcl/gem	㍘㦈
bcl/mEks	㍘㙷
bcl/tI/mcr	㍘㚇々
bclz	㌑
bcrn	劘
bct	㊂
be/be	゘゘
be/bi	゘゙
be/bi/kek	゘゙㡹
be/biz	゘㔗
be/kRz	゘㢓
be/sIk	゘䄕
beb	㖉
bebz	到
bek	䜹
ber	㦙
berz	䥁
bes/bcl	䄵㍘
bes/mInt	䄵䄶
bi	゙
bi/IG	゙と
bi/IGz	゙剹
bi/and	゙䈩
bi/tIG	゙〠
bi/trIks	゙制
bi/txn	゙㕄
bidz	䤉
bif	䤹
bin	䘰
binz	㡩
bip	䀳
bit	㈄
bits	㡴
bl@G/kIt	䁆㖁
bl@G/kIts	䁆㖃
bl@G/ki	䁆〴
bl@k	䁖
blE/sId	䞔䎉
blEs	㐑
blIG/kIG	䅥へ
blIGk	䥠
blYnd	䝵
blYndz	䔂
bl^/stx/ri	偦䠸ㄢ
bla	䅂
blak	䅉
blaks	㜤
blakt	傗
blid	䡤
blo	䈹
blo/IG	䈹と
blu	ㅰ
blu/bE/ri	ㅰㄓㄢ
bluz	剴
bo	䖓
bo/bo	䖓䖓
bo/bo/ni	䖓䖓㈕
bo/gxs	䖓䘕
bo/ni/no	䖓㈕〘
bo/nin	䖓䖒
bo/rIG	䖓㙖
boT	㕒
bol	㝤
bolz	䤙
bon	䒆
bonz	㞔
bot	䡒
bots	兇
br@n/CIz	䈥㘳
br@nC	䘁
br@nd	儀
brEd	㤉
brEk/fxst	㐩㐰
brEst	䠓
brI/sko	㌓㌔
brI/skoz	㌓㙸
brI/tI/ni	㌓㚇㈕
brIG	㎑
brIG/IG	㎑と
brIJ	㠗
brIt/ni	倩㈕
brIt/niz	倩䎐
brU/klIn	䐲䐳
brWn	䁐
brY/In	㤢㄀
brYt	䤐
br^/DRz	䄩䁵
br^/SIG	䄩㝇
br^S	䄧
brcT	䘸
brcd	匘
brct	䞉
bre/kx/bxl	䦕㔧㌆
brek	䎄
bres/lIt	䦓㈢
brev	䢔
bri/DIG	やゅ
brif/kes	䘥䘦
briz	䔥
bro/kxn	䕇䄔
brok	䤱
bruz	䉀
bu	㙤
bu/bi	㙤゙
bu/bu	㙤㙤
bu/bu/Sxz	㙤㙤䈱
bu/bu/ni	㙤㙤㈕
bu/bu/ni/no	㙤㙤㈕〘
bu/bu/nin	㙤㙤䖒
bu/bu/ninz	㙤㙤䘤
bu/bun	㙤䘓
bu/bunz	㙤䘣
bu/mx/r@G	㙤㡵䎑
bu/ti	㙤〄
bu/tiz	㙤㘠
buS	䠃
bum	づ
bup/si/bu	䢖ゔ㙤
bups	䢗
but	匣
buts	偩
bx/for	ㆁㅣ
bx/g^n	ㆁ䂘
bx/hYnd	ㆁ㥨
bx/kcz	ㆁㆂ
bx/lcG	ㆁ㑴
bx/lcGz	ㆁ䜙
bx/liv	ㆁ㔁
bx/lo	ㆁㄉ
bx/lu/gx	ㆁ㑓䁉
bx/lunz	ㆁ㤳
bx/n@/nx	ㆁ㐥〖
bx/n@/nxz	ㆁ㐥㢘
bx/sYdz	ㆁ匩
bx/twin	ㆁ䍆
byu/tI/fxl	䁠㚇䁡
c	ㄆ
c/fIs	ㄆ䤁
c/fRd	ㄆ偑
c/fx/li	ㄆ䕸㊄
c/fxl	ㄆ䁡
c/fxlz	ㄆ䥂
c/fxn	ㄆ儆
c/kwRd	ㄆ傒
c/lwez	ㄆㄇ
c/rIn/JIS	ㄆ㞀㞁
c/rIn/JIz	ㄆ㞀㠵
c/rInJ	ㄆㅒ
c/sxm	ㄆ䌤
c/tx/m@/tIk	ㄆㄱ㔦䄖
cf	㆔
cg/mEn/tIn	北㌢刂
cl	め
cl/most	めㆄ
cl/rE/di	め㈶㈷
cl/rY/ti	め㠶〄
cl/rYt	め㌧
cr	㙣
cr/dRd	㙣䐃
cr/gx/nYzd	㙣䁉䠳
d@/d@	ㅖㅖ
d@/d@/d@	ㅖㅖㅖ
d@/d@/d@z	ㅖㅖ㤴
d@/d@z	ㅖ㤴
d@/di	ㅖ㈷
d@/diz	ㅖ㐒
d@/dxl	ㅖ㙓
d@/fi	ㅖ㌖
d@d	䌵
d@dz	偓
d@l/me/SIn	䅩㑁㥁
d@mp	䚄
d@n/di	㝒㈷
d@n/sIG	㝒ㅩ
d@n/yxl	㝒剄
d@ns	䁀
d@t	匨
dE/fI/nIt/li	䄥㊖䉑㊄
dE/sx/bxlz	䄥㡇㔈
dE/zI/tIn	䄥㙰刂
dEd	䕦
dEk	傕
dEsk	㜘
dI/SIz	㔡㝙
dI/dxnt	㔡㌈
dI/frInt	㔡㤃
dI/frcst	㔡䠕
dI/lxn	㔡䌂
dI/nR	㔡㈱
dI/nY	㔡䕆
dI/rEk/SIn	㔡䠈㥁
dI/rEk/SInz	㔡䠈㢃
dI/sEm/bR	㔡匒㌂
dI/sY/dId	㔡㈐〸
dI/sYd	㔡㈓
dI/sk^/vRd	㔡䐹䌕
dI/str@k/tIG	㔡䜷〠
dI/tR/JInt	㔡ㄔ㤇
dI/tR/mInd	㔡ㄔ䎁
dI/vW/R	㔡劑㑥
dI/z@s/tR	㔡䙆ㄔ
dI/zYr	㔡䠢
dI/zi	㔡㑤
dIG	ぴ
dIS	䜤
dIS/wa/SR	䜤぀䕓
dId	〸
dIg	䜣
dIp/si	匔ゔ
dIs	䑕
dIs/k^/vR	䑕ㅥ㉓
dIs/px/zI/SIn	䑕㔑㙰㥁
dIs/tRb	䑕偂
dIs/tr@k/SIn	䑕䜸㥁
dIs/trO	䑕䔵
dR/ti	㎓〄
dRt	䖇
dRts	䖉
dWn	〹
dWn/lod	〹划
dWn/sterz	〹ん
dY/It	㐹ㄙ
dY/di	㐹㈷
dY/diz	㐹㐒
dY/i/Sx	㐹〙㍄
dY/mxnd	㐹䢇
dY/nI/scr	㐹㘷䥈
dY/pR	㐹㌴
dY/pRz	㐹㜂
dY/pi	㐹㐦
dYd	兒
dYl	䡳
dYv	䂐
d^/bxl	㒘㌆
d^/bxl/yu	㒘㌆〨
d^/ki	㒘〴
d^/kiz	㒘㕑
d^/zxnt	㒘㒙
d^b	㌡
d^k	䁓
d^m	劆
d^mp	䎃
d^mp/ti	䎃〄
d^n	㝘
d^s/ti	兔〄
d^st	倐
d^z	㍥
da	㞅
da/li	㞅㊄
da/liz	㞅㠒
da/nx	㞅〖
da/nxld	㞅偤
dak/tR	䍥ㄔ
dark	㠅
darn	偉
dc/gcn	㊑㕂
dc/gi	㊑〆
dc/giz	㊑ㄥ
dc/tR	㊑ㄔ
dcg	〡
dcgz	㕈
dcl	㉡
dcl/fInz	㉡䂉
dcs	兓
de	ㄶ
de/rIG	ㄶ㙖
de/ri	ㄶㄢ
de/tYm	ㄶ㉁
de/vId	ㄶ剆
den/Jx/rxs	䜳㠸䜴
der	䕕
dez	䂗
di	㈷
di/di	㈷㈷
di/di/di	㈷㈷㈷
di/hY/dre/tId	㈷ゕ㔴㈑
dil	㥓
dip	䂂
dir	㈦
do/n^t	〵ㆃ
do/si	〵ゔ
do/tIG	〵〠
dont	ㅸ
dor	㊆
dor/bEl	㊆䍷
dorz	䁦
dr@Gk	䑇
dr@g	䖀
dr@gd	㙇
drE/sIG	㡓ㅩ
drE/sR	㡓ㅓ
drEd/fxl	倁䁡
drEnCt	䖅
drEs	䙷
drEst	㑙
drI/pIG	化㐀
drIG/kIG	䡅へ
drIG/ki	䡅〴
drIGk	ㄲ
drIGks	㡧
drIl	兗
drY	㘃
drY/vR	㘃㉓
drYd	䀱
drYr	䊇
drYv	㠂
drYv/we	㠂㉔
dr^/mIG	㌵㙴
dr^/mR	㌵㌶
dr^m	䕖
dr^mz	䑐
dra/pIG	㘨㐀
drap	㐁
draps	䉆
drapt	㔸
drc/IG	䔗と
drcr	㒉
drcrz	倇
dri/mIG	㒒㙴
drim	偡
dru/lIG	䝢㈨
dru/li	䝢㊄
drul	兹
du	〗
du/IG	〗と
du/dxl	〗㙓
du/x/lIG	〗べ㈨
dud	䝦
duks	匀
dx/ko/tx	㢈㉦ㄱ
dx/ko/txz	㢈㉦䦐
dx/l^ks	㢈㢉
dyx	剶
e	〦
e/bi/si	〦゙ゔ
e/bi/siz	〦゙䉁
e/bxl	〦㌆
e/prxn	〦䠴
e/prxn/strIG	〦䠴䑢
e/tin	〦䙧
eC	倦
eJ	判
ed	儒
en/Jxlz	䠀䠁
ent	䑃
er	㑶
er/plen	㑶㑷
et	㍶
f@/mx/li	䔁㡵㊄
f@/sI/ne/tId	䔁㊃䉥㈑
f@/sIn	䔁䉇
f@/sInz	䔁偧
f@/stR	䔁䀡
f@kt	㠤
f@m/liz	䥳㠒
f@n	䄓
f@st	㚓
f@t	䌸
fE/lo	䜑ㄉ
fE/ri	䜑ㄢ
fEd	䅖
fEl	㥸
fElt	䉨
fEns	䚉
fI/SIz	㊖㝙
fI/Si	㊖㊀
fI/Siz	㊖㆐
fI/gyR	㊖䎂
fI/lIG	㊖㈨
fI/nIS	㊖㞂
fI/nISt	㊖㊗
fIG/gR	㠢㍔
fIG/gR/nel	㠢㍔䀉
fIG/gR/prInts	㠢㍔䑷
fIG/gRz	㠢䉗
fIS	㡙
fIS/bol	㡙㝤
fIf/tin	䚕䙧
fIg/yRd	㥇䝑
fIg/yRz	㥇㥈
fIgz	剔
fIk/sIG	㥢ㅩ
fIk/sx/bxl	㥢㡇㌆
fIks	䅹
fIkst	剧
fIl	䌆
fIsts	匢
fIt	㙑
fIts	䉖
fR	㌅
fR/bi	㌅゙
fRst	㔲
fU/ti	䙥〄
fUl	䌒
fUt	㚗
fUt/prInts	㚗䑷
fUts	傖
fWn/txn	䡆㕄
fWnd	㖐
fY/do	䝸〵
fY/nx/li	䝸〖㊄
fY/tIG	䝸〠
fYn	㜳
fYn/dIG	㜳ぴ
fYnd	㖆
fYr	㝢
fYr/ples	㝢㖑
fYt	䐷
fYv	㈁
f^/ni	㊔㈕
f^/sIG	㊔ㅩ
f^/sR	㊔ㅓ
f^/si	㊔ゔ
f^/siz	㊔䉁
f^/zi	㊔㑤
f^n	㍐
f^s	䐠
f^s/b^/kxt	䐠㒔冄
f^z	㌐
fa/DR	ㄈㅉ
fa/DRz	ㄈ䁵
fa/lo	ㄈㄉ
fa/lo/IG	ㄈㄉと
fa/nIks	ㄈ劕
fa/si	ㄈゔ
far	㙱
far/DR	㙱ㅉ
far/mR	㙱㌶
farm	䉰
fc/lIG	ㅳ㈨
fc/lxn	ㅳ䌂
fc/rIst	ㅳㅴ
fc/sxl	ㅳ䅱
fcl	㑗
fclt	䝄
fclz	䆀
fcr	〱
fcr/bI/dxn	〱㒃䙱
fcr/gEt	〱い
fcr/gat	〱ㅂ
fcr/myx/lx	〱㤂㘀
fcr/ti	〱〄
fcr/wRd	〱䍃
fe/kIG	っへ
fe/kR	っつ
fe/sIG	っㅩ
fe/sIz	っ㜁
fe/vR	っ㉓
fe/vx/rIt	っ㦇䁄
feT/fxl	䞅䁡
fek	䕤
fer	䙄
fes	㜕
fes/klaT	㜕倆
fi/dIG	㌖ぴ
fi/lIG	㌖㈨
fi/lIGz	㌖䔢
fid	㒗
fil	㌗
filz	䌖
fir	䍡
fit	㕨
fits	㝖
fl@S/lYt	䐂㖗
fl@t	䕰
flI/pIG	倂㐀
flIp	㥵
flW/R	㜧㑥
flW/Rz	㜧㜨
flWnt/si	䉢ゔ
flY	㑆
flY/IG	㑆と
fl^/fi	䡉㌖
flap/si	䥹ゔ
fle/vR/fxl	䘱㉓䁡
fle/vRd	䘱䌕
fleks	刡
flo/IG	䝴と
flor	㌒
flot	䡑
flots	光
floz	䞒
flu	ㄴ
flu/Idz	ㄴㄵ
fol/dIG	䉴ぴ
fol/dId	䉴〸
fold	㜒
fon	㊓
fonz	㙕
for	ㅣ
for/hEd	ㅣ㈆
for/sIG	ㅣㅩ
for/tin	ㅣ䙧
forT	䒙
frE/di	㠁㈷
frES	剕
frEnC	㡱
frEnd	䑨
frEndz	䂓
frI/li	䅘㊄
frY/de	䊉ㄶ
fr^/stre/tId	兢兣㈑
fr^m	㉨
fr^nt	㕓
frc/gi	䥦〆
frc/giz	䥦ㄥ
frcg	䁕
frcs/ti	䥖〄
fri	䂅
fro/zIn	㤐㤑
frut	㢔
fu/lIG	劖㈨
fud	〢
fudz	倠
fx/rE/vR	䕸㈶㉓
fyu	ㅃ
g@/bi	冗゙
gE/tIG	㙧〠
gEs	䁶
gEt	い
gEts	㑳
gI/gxl	㜡㎇
gI/gxlz	㜡䉅
gI/mi	㜡〈
gI/tar	㜡元
gI/vIG	㜡㉕
gI/vR	㜡㉓
gIfs	䥑
gIft	䕃
gIl/ti	䠆〄
gIt	䠵
gIv	㖇
gR/bR	㍔㌂
gR/li	㍔㊄
gRl	さ
gRlz	㉙
gU/di	䦁㈷
gUd	ご
gUd/nIs	ご䉦
gWn	剢
gY	䘔
gYz	㥦
g^/nx	〕〖
g^m	㤱
g^mp	䍒
g^mz	䥨
g^s	傐
ga/Cx	㄰で
ga/tx	㄰ㄱ
